Wall time,Step,Value
1530317981.6214213,5,0.6192402243614197
1530318001.5872428,6,0.6193132400512695
1530318101.79343,11,0.5569456219673157
1530318162.7165892,14,0.5297553539276123
1530318183.7565465,15,0.5237022042274475
1530318244.318412,18,0.546638548374176
1530318283.874661,20,0.4922529458999634
1530318363.7443311,24,0.45461687445640564
1530318604.2557106,36,0.41883447766304016
1530318683.0330362,40,0.40979501605033875
1530318722.463788,42,0.4134228825569153
1530318762.878713,44,0.4018014073371887
1530318782.6731977,45,0.40254539251327515
1530318823.684348,47,0.4091094136238098
1530318942.7312963,53,0.3899896740913391
1530318962.4322777,54,0.3877790570259094
1530318982.1249459,55,0.38706886768341064
1530319002.1691349,56,0.3924294114112854
1530319021.9291997,57,0.38841021060943604
1530319181.463274,65,0.3863838016986847
1530319241.447416,68,0.3528842031955719
1530319301.8468003,71,0.35525721311569214
1530319321.9779227,72,0.37300294637680054
1530319341.961427,73,0.3633492887020111
1530319361.596481,74,0.3720347583293915
1530319460.4079726,79,0.36943158507347107
1530319618.7518241,87,0.3630996644496918
1530319638.515656,88,0.35099267959594727
1530319757.6305764,94,0.35744553804397583
1530319916.617663,102,0.34501397609710693
1530319976.0324447,105,0.35002845525741577
1530319996.5943344,106,0.3488604426383972
1530320134.8663278,113,0.33033135533332825
1530320194.1972075,116,0.3278769552707672
1530320234.785932,118,0.33689478039741516
1530320393.378169,126,0.3260588049888611
1530320452.494852,129,0.32359379529953003
1530320472.441261,130,0.3315810263156891
1530320650.036397,139,0.3196168541908264
1530320689.216972,141,0.3215177655220032
1530320708.9019582,142,0.3329757750034332
1530320728.4188588,143,0.3205881118774414
1530320866.6887696,150,0.3173711597919464
1530320966.1688888,155,0.32191163301467896
1530321006.533476,157,0.3177953362464905
1530321026.2284274,158,0.32099735736846924
1530321105.5500088,162,0.3223336935043335
1530321204.4231699,167,0.31968143582344055
1530321223.7358463,168,0.31254449486732483
1530321284.621383,171,0.31329458951950073
1530321402.5554583,177,0.32374629378318787
1530321422.47772,178,0.29423144459724426
1530321462.1957653,180,0.3177424967288971
1530321521.453346,183,0.3062436580657959
1530321561.1259458,185,0.304821252822876
1530321580.78478,186,0.2956191301345825
1530321619.9734764,188,0.296445369720459
1530321659.7301517,190,0.2908256947994232
1530321679.5317142,191,0.30534690618515015
1530321818.4749053,198,0.2972416281700134
1530321977.1674972,206,0.2900436222553253
1530321997.235861,207,0.2885461151599884
1530322017.1807165,208,0.29428645968437195
1530322096.1221292,212,0.29193729162216187
1530322293.7976422,222,0.2854449450969696
1530322313.1099036,223,0.2898300588130951
1530322352.525694,225,0.2952936589717865
1530322433.4568772,229,0.2891700267791748
1530322493.535463,232,0.2959989607334137
1530322513.5185864,233,0.2741255760192871
1530322533.175719,234,0.29658597707748413
1530322592.6171649,237,0.27957653999328613
1530322830.417464,249,0.28752437233924866
1530322949.9046097,255,0.2873188853263855
1530323009.5719635,258,0.28112372756004333
1530323049.2630074,260,0.2886872887611389
1530323069.3849547,261,0.30639174580574036
1530323109.3103666,263,0.294126957654953
1530323188.317248,267,0.26839879155158997
1530323267.2975395,271,0.2782767713069916
1530323306.6923828,273,0.2762828767299652
1530323406.1698813,278,0.27525779604911804
1530323685.310034,292,0.27109089493751526
1530323784.5493104,297,0.2797144055366516
1530323804.2184663,298,0.27058279514312744
1530323883.448848,302,0.27321553230285645
1530323903.100046,303,0.2694590091705322
1530323982.1099396,307,0.2915125787258148
1530324001.9232042,308,0.26488006114959717
1530324041.6777534,310,0.26751604676246643
1530324101.1368423,313,0.26007261872291565
1530324199.8663707,318,0.2758214771747589
1530324219.5042415,319,0.25936734676361084
1530324239.3509548,320,0.2525355815887451
1530324338.222438,325,0.26624131202697754
1530324358.35509,326,0.2738417387008667
1530324378.5398154,327,0.2547386586666107
1530324437.9695597,330,0.2665557563304901
1530324616.7859948,339,0.2594015300273895
1530324656.4728703,341,0.2526247799396515
1530324774.902057,347,0.2520197033882141
1530324893.1146555,353,0.25119367241859436
1530324912.8458216,354,0.2428995817899704
1530325031.847376,360,0.25685256719589233
1530325091.0706542,363,0.2706660032272339
1530325170.4782193,367,0.2619116008281708
1530325248.310285,371,0.25897783041000366
1530325287.886337,373,0.2602457106113434
1530325366.2899551,377,0.2490326166152954
1530325385.9572315,378,0.263113409280777
1530325405.3224144,379,0.25384029746055603
1530325444.7419405,381,0.2547634541988373
1530325542.745041,386,0.2520913779735565
1530325642.502283,391,0.2628105580806732
1530325662.4589016,392,0.25412243604660034
1530325681.7122793,393,0.265250027179718
1530325976.8250887,408,0.2677949368953705
1530326113.4333363,415,0.237855926156044
1530326231.3131506,421,0.2470792680978775
1530326251.0575135,422,0.2559317350387573
1530326290.0108874,424,0.24309539794921875
1530326329.0716257,426,0.24817851185798645
1530326406.761563,430,0.24970316886901855
1530326582.5690155,439,0.23403392732143402
1530326621.7220936,441,0.23713955283164978
1530326641.064321,442,0.23916076123714447
1530326699.519142,445,0.24526874721050262
1530326817.5791318,451,0.26662638783454895
1530326975.2679224,459,0.23050636053085327
1530326994.924827,460,0.24314476549625397
1530327054.0739787,463,0.2384156584739685
1530327073.5616155,464,0.24183332920074463
1530327249.612784,473,0.24092181026935577
1530327269.1493514,474,0.23716744780540466
1530327483.4939985,485,0.23229707777500153
1530327541.9376402,488,0.24151794612407684
1530327561.831015,489,0.2408578246831894
1530327600.882624,491,0.22482465207576752
1530327640.1553526,493,0.24322639405727386
1530327915.0105765,507,0.24531328678131104
1530328012.8575263,512,0.23370520770549774
1530328052.017734,514,0.24371285736560822
1530328111.2861533,517,0.2412499338388443
1530328150.6268227,519,0.23622120916843414
1530328248.4357054,524,0.23548480868339539
1530328268.020548,525,0.24299439787864685
1530328385.9827878,531,0.2364015132188797
1530328425.1749456,533,0.2321028858423233
1530328444.7112567,534,0.2338797152042389
1530328484.3060968,536,0.23467253148555756
1530328504.0014725,537,0.2234855443239212
1530328562.9100912,540,0.2257338911294937
1530328602.5245225,542,0.22981448471546173
1530328700.3720353,547,0.2206069827079773
1530328719.9321623,548,0.22846056520938873
1530328897.2097313,557,0.22722631692886353
1530328936.3361132,559,0.228658527135849
1530329015.8942533,563,0.22058534622192383
1530329035.90178,564,0.23927225172519684
1530329055.7886484,565,0.2293078452348709
1530329134.9439406,569,0.22865481674671173
1530329213.4527977,573,0.22662407159805298
1530329232.6091642,574,0.2152530550956726
