Wall time,Step,Value
1529807530.4474432,0,0.3884844183921814
1529808097.4690628,1,0.24342742562294006
1529808663.5066662,2,0.20646965503692627
1529809227.4110732,3,0.1878051906824112
1529809790.9882743,4,0.18050076067447662
1529810355.3653493,5,0.1507173776626587
1529810915.8553867,6,0.144542396068573
1529811473.4610481,7,0.13660721480846405
1529812030.5967178,8,0.13497589528560638
1529812587.538718,9,0.13669700920581818
1529813144.3238282,10,0.1326032429933548
1529813701.1843703,11,0.1307305246591568
1529814214.5516763,12,0.12671558558940887
1529814721.385703,13,0.12872518599033356
1529815227.8920693,14,0.1315225064754486
1529815734.0416684,15,0.12716777622699738
1529816241.0308769,16,0.12768150866031647
1529816747.737336,17,0.12662070989608765
1529817254.1964395,18,0.12867049872875214
1529817760.605989,19,0.1300237476825714
1529818266.9781194,20,0.11889705061912537
1529818773.5561845,21,0.13092893362045288
1529819280.956381,22,0.1280766725540161
1529819787.589512,23,0.11473234742879868
1529820294.503401,24,0.1309354156255722
1529820801.2555103,25,0.127894788980484
1529821309.0846121,26,0.13101531565189362
1529821815.6480005,27,0.11713215708732605
1529822322.2928967,28,0.12834180891513824
1529822829.0053709,29,0.11599316447973251
1529823335.8610635,30,0.12164542078971863
1529823861.902883,31,0.12412121891975403
1529824368.6045053,32,0.12345565110445023
1529824874.732467,33,0.12491051852703094
1529825386.9282439,34,0.12397389113903046
1529825899.6871483,35,0.11922093480825424
1529826411.9539685,36,0.12230430543422699
