Wall time,Step,Value
1530320568.9632618,5,0.5726796984672546
1530320762.2864997,15,0.5468867421150208
1530320820.7443926,18,0.5368751883506775
1530320937.3193057,24,0.5217276215553284
1530321249.8430037,40,0.5014894604682922
1530321289.1950648,42,0.4969874620437622
1530321328.613996,44,0.48662376403808594
1530321348.5062778,45,0.4889644980430603
1530321387.8568509,47,0.49372708797454834
1530321503.6748755,53,0.49882134795188904
1530321523.2268004,54,0.497530072927475
1530321562.189401,56,0.48301565647125244
1530321737.592675,65,0.4897225499153137
1530321854.5520418,71,0.4851406216621399
1530321874.1292021,72,0.48224061727523804
1530321893.283811,73,0.4814988076686859
1530321912.5241892,74,0.47948721051216125
1530322009.3811986,79,0.4711161255836487
1530322164.248544,87,0.4715278446674347
1530322299.3419185,94,0.4613803029060364
1530322455.1707652,102,0.4686729907989502
1530322514.1031544,105,0.4572599530220032
1530322533.4122796,106,0.4688541889190674
1530322670.1977696,113,0.45470285415649414
1530322767.2731802,118,0.44249123334884644
1530322924.5114741,126,0.4377865195274353
1530322983.0601196,129,0.433322936296463
1530323002.2097385,130,0.4336822032928467
1530323177.478588,139,0.4207782745361328
1530323216.2661002,141,0.4309459924697876
1530323235.703358,142,0.42980238795280457
1530323392.1973026,150,0.42871716618537903
1530323490.47279,155,0.42247113585472107
1530323549.4571407,158,0.415799617767334
1530323725.8996024,167,0.41366463899612427
1530323745.5967436,168,0.41338950395584106
1530323803.7434053,171,0.4121766686439514
1530323920.7475617,177,0.40614521503448486
1530323940.2811708,178,0.40981367230415344
1530324037.501229,183,0.40976735949516296
1530324076.55729,185,0.39696910977363586
1530324096.4847472,186,0.4022125005722046
1530324174.070096,190,0.4043218791484833
1530324193.4960716,191,0.4066140651702881
1530324331.8019097,198,0.4163346290588379
1530324488.920438,206,0.3976215720176697
1530324508.5358024,207,0.4034406542778015
1530324528.1117926,208,0.3951587378978729
1530324605.9369168,212,0.3904867172241211
1530324820.794487,223,0.3963688313961029
1530324938.634014,229,0.3836585581302643
1530325037.5220935,234,0.38501250743865967
1530325096.2874806,237,0.387143075466156
1530325330.8019056,249,0.3856557011604309
1530325447.5632071,255,0.3839576542377472
1530325544.9252713,260,0.3768278956413269
1530325603.8012974,263,0.381353497505188
1530325682.8574488,267,0.3741275668144226
1530325761.662556,271,0.37955746054649353
